英文|中文
Print Options|打印选项
Print file name/date|打印文件名称/日期
Elements to print:|打印的元素:
Print page numbers|打印页码
Remove annotations|移除注释
Print using font:|打印使用字体:
Print options:|打印选项:
Insert linked comments|插入链接的批注
Text Documents|文本文档
Highlight titles with label color|使用标签颜色高亮标题
Include keywords|包括关键词
Print cutting guides|打印裁切线
Ignore cards with titles only|仅忽略卡片标题
Force landscape orientation|强制横向打印
Embolden titles|加粗标题
Include titles|包括标题
Include card numbers|包括卡片编号
Include synopses|包括摘要
Include label and status|包括标签和状态
Include custom meta-data|包括自定义元数据
Indent by level|缩进层级
Include targets with counts|包括目标计数
Prefix titles with number|标题前缀添加编号
Print file name|打印文件名称
Include character count|包括字符计数
Include word count|包括单词计数
Outlines|大纲
Print backgrounds|打印背景
Images|图像
Web Pages|网页
Print actual size|打印实际尺寸
Scale to fit page|缩放以适合页面
Hide binder and inspector when entering full screen mode|进入全屏模式时隐藏文件栏和检查器
Use dark gray theme in full screen only|仅在全屏模式使用暗灰主题
Use dark gray theme|使用暗灰主题
Use different colors in full screen|全屏模式使用不同的颜色
(Note that not all fonts support bold and italics.)|(注意，不是所有字体支持粗体和斜体.)
Synopsis:|摘要:
Header bar:|标题栏:
Binder &amp; outliner options:|文件栏 &amp; 大纲选项:
Outliner title:|大纲标题:
Binder:|文件栏:
Use Default Color|使用默认颜色
Choose Texture...|选择纹理...
Override text color with color:|覆盖文本颜色:
Keep text on lines in index cards and notes|索引卡和笔记中让文本处于格线上.
In document notes|用在文档笔记
Customizable Colors|可定制颜色
Always auto-hide toolbar in full screen mode|总是在全屏模式下自动隐藏工具栏
Target progress bars use smooth transition between colors|目标进度条的颜色之间使用平滑过渡
Smooth text and line art in PDF documents|平滑PDF文档中的文本和线条
In project notes|用在项目笔记
QuickReference panels use black translucent "HUD" style|快速参考面板使用黑色半透明的"HUD"风格
Shows subdocument counts|显示子文档计数
Uses alternating row colors|使用交替的行颜色
High|高
Opacity of label colors when used in backgrounds:|背景中使用标注颜色的不透明度:
Has vertical grid lines|显示垂直网格线
Has horizontal grid lines|显示水平网格线
Embolden folders|粗体标注文件夹
Embolden document groups|粗体标注文档组
Embolden all titles in outliner when showing synopses|当显示摘要时粗体标注所有大纲标题
Italicize folders|斜体标注文件夹
Italicize document groups|斜体标注文档组
Fonts:|字体:
General:|常规:
Full Screen:|全屏:
Notepad Lines:|记事本线条:
Outliner:|大纲:
If enabled, Scrivener will try to use Java-based converters for Word and OpenOffice documents. This is slower, but results in much better formatting fidelity. If disabled, the standard OS X converters will be used and some formatting and document features may be lost during document conversion.|如果启用,Scrivener将尝试为Word和OpenOffice文件使用基于java的转换器。这样会比较慢,但结果是会获得更好的格式化保真度。如果禁用,使用标准的OS X转换器可能会导致一些格式和文档特征在文档转换时丢失。
Automatically detect [[Scrivener links]]|自动检测 [[Scrivener 链接]]
Correct spelling errors as you type|输入过程中修正拼写错误
Auto-Completion:|自动完成:
Spelling:|拼写检查:
Auto-Capitalization:|自动大写:
Substitutions:|内容替代:
Note: Excepting the main editor, not all text views in Scrivener support all substitution types.|注意:除了主要编辑器，Scrivener中并不是所有的文本视图支持所有替代类型.
To edit substitutions and smart quote types, use the System Text Preferences:|编辑替代内容和智能引号类型,使用系统语言和文本的设置:
System Text Preferences...|系统语言和文本设置...
Use smart quotes (“ ”)|使用智能引号 (“ ”)
Fix capitalization of sentences|修正句子中大写
Capitalize 'i'|将 'i' 改为大写
Replace double hyphens with em-dashes|替换双连线(--)为破折号(—)
Replace triple periods with ellipses|以省略号代替三个句点
Superscript ordinals (1st, 2nd, etc)|上标序号 (1st, 2nd, etc)
Symbol and text substitution|符号和文本替换
Disable smart quotes, em-dashes and ellipses in script mode|在剧本模式中禁用智能引号,破折号和省略号
Check grammar with spelling in new projects|在新项目中检查拼写和语法
Check spelling as you type in new projects|新建项目中检查语法和拼写
Suggest completions as you type|输入时显示建议字词
In script mode only|仅在剧本模式
Automatically detect web addresses|自动检测网址
Only suggest completions from custom auto-complete lists|仅显示自定义自动完成列表中的建议的字词
and [[Scrivener links]]|和 [[Scrivener链接]]
Close:|关闭:
Open:|打开:
Disable smart quote, em-dash and ellipsis substitution in script mode|剧本模式中禁用智能引号，破折号和省略号
Check for external project changes:|检查外部项目的改变:
Daily|每天
Hourly|每小时
Weekly|每周
Monthly|每月
Use date in backup file names|在备份文件名中加入日期
Turn on automatic backups|启用自动备份
Back up on project open|项目打开时进行备份
Back up with each manual save|手动存储时进行备份
Compress automatic backups as zip files (slower)|压缩自动备份文件为zip文件 (较慢)
Only keep:|仅保留:
most recent backups|个最近的备份
Backup location:|备份位置:
Open backup folder...|打开备份文件夹...
Back up on project close|项目关闭时进行备份
Corkboard pattern|软木板图案
Custom color|自定义颜色
Custom background...|自定义背景...
Automatically shrink titles to fit with minimum font size:|自动收缩匹配标题的最小字号:
Small text:|小文本:
Status stamp:|状态图章:
Index cards text:|索引卡文本:
Photographs title:|照片标题:
Index cards title:|索引卡标题:
Always creates a new card in freeform mode|自由版式下总是创建新卡片
Heavy|重
Status stamp opacity:|状态图章透明度:
Freeform background:|自由版式背景:
Soft|轻
Corkboard shadows:|软木板阴影:
Corkboard background:|软木板背景:
Opens the parent corkboard|打开上一级软木板
Creates a new card|创建新的卡片
Does nothing|什么都不做
Double-clicking corkboard background:|双击软木板背景:
Position pins:|图钉位置:
Index card theme:|索引卡主题:
Appearance:|外观:
Always show synopsis rather than image by default in inspector|在检查器中默认总是显示摘要而不是图像
Display images as photographs|以照片样式显示图像
Arrange cards from right to left|从右到左对齐卡片
Allow two lines in title areas|允许标题占两行
Draw lines in index cards|在索引卡片上绘制线条
Allow drop ons|允许拖入
Dragging and Double-Clicking|拖拽和双击
Rounded|圆角
Red and blue|红色和蓝色
Blue and black|蓝色和黑色
Auto-detect dates, addresses etc|自动检测日期,地址等
Disable Keep with Next|禁用与下段同页
Spacing between pages:|页之间的空白间隔:
Show page view in new projects|在新建项目中使用页面视图
Show margin guides|显示页边参考线
Use facing pages in new projects|在新建项目中使用对开页
Center pages|居中页面
Draw shadow around pages|绘制页边阴影
Wrap to Page Mode|换到页面模式
Left/Right:|左/右:
Use Current|使用当前值
Used for window zooming. Enter 0 to force the window to fit the screen.|用于窗口缩放。输入 0 强制适合屏幕的窗口.
Default editor width:|默认编辑器宽度:
Use fixed width|使用固定宽度
Full screen only|仅全屏
Top/Bottom:|上/下:
Wrap to Editor Mode|换到编辑器模式
Typing clears search highlights|输入时清除搜索结果的高亮标记
Default text zoom:|默认文本缩放：
Use fine kerning|使用最佳字距
Use block insertion point of|使用块状插入点
Disable insertion point blinking|禁用插入点闪烁
Ruler units:|标尺单位:
Middle of screen|屏幕中部
Top quarter of screen|屏幕四等分的上部
Top third of screen|屏幕三等分的上部
Bottom third of screen|屏幕三等分的下部
Bottom quarter of screen|屏幕四等分的下部
Typewriter scroll line:|打字机滚屏行:
Highlight current line|高亮当前行
Smart copy/paste|智能 复制/粘贴
Editing Options|编辑选项
Enable enhanced converters for Microsoft Word and OpenOffice documents|为 Microsoft Word 和 OpenOffice 文件启用增强转换器
Terminate footnotes and comments before punctuation|在标点符号前结束脚注和批注
Do not color the text of inline annotations (faster)|行内注释的文本不使用颜色(更快)
Separate scrivenings with single line breaks|使用单独的行分开层叠页面
Use title background  color|使用标题背景色
Inspector comments font:|检查器批注字体:
Use for inspector footnotes too|同时应用到检查器脚注
Scrivenings title font:|层叠标题字体:
Notes font:|笔记字体:
Use different footnotes font:|使用不同的脚注字体:
(Text formatting can be overridden on a per-project basis via Project &gt; Text Preferences...)|(文本格式能够被覆盖，通过每个项目中的 项目 &gt; 项目设置… )
Main Text Style|正文字体样式
Use Formatting in Current Editor|使用当前编辑器中的格式
Options that take effect for new documents|选项将影响到新建的文档
Left to Right|从左到右
Natural (use language settings)|正常 (使用语言设置)
Writing direction:|书写方向:
Show notifications when saving|保存时显示通知
Blank out other screens|其他屏幕空白
Use secondary screen if available|如果可用使用辅助屏幕
Escape key closes composition mode|Esc 键退出写作模式
Hide main window in composition mode|写作模式中隐藏主窗口
Fade between modes|模式切换时渐隐
Composition Mode Set-Up|写作模式设置
Scroller type:|滚动条类型:
Standard full screen scroller|标准全屏滚动条
Regular scroller|常规滚动条
Auto-hiding scroller (uses text color)|自动隐藏滚动条 (使用文本颜色)
Minimalist scroller (uses text color)|简约滚动条 (使用文本颜色)
No scroller|没有滚动条
Paper Margins:|页面边距:
Appearance|外观
Use current composition settings for new projects|新建项目使用当前的写作模式设置
Affects text zoom, background fade, typewriter scrolling and paper position, width and height. (Note that you can hold down the Option key to change the paper height while in composition mode.)|影响文本缩放,背景淡出,打字机滚屏和纸张的位置,宽度和高度.(注意,全屏模式下您可以按Option键改变纸张的高度).
Default View Settings|默认视图设置
Default|默认值
Language:|语言:
Show internal error alerts|显示内部错误警告
ext:|扩展名:
Take snapshots of changed text documents on manual save|手动保存文档时为改变的文字创建快照
Show title prompt when using clipping Services|使用剪贴服务时显示标题提示
Reset|重设
Bibliography Manager:|参考文献管理:
second(s) of inactivity|秒(s) 后没有操作
Reopen QuickReference panels when opening projects|当项目打开时重新打开快速参考面板
Show template chooser when there are no projects open|当没有项目被打开时显示模板选择界面
Automatically name untitled text documents upon save|保存时自动为无标题文件命名
Startup options:|启动选项:
Reopen projects that were open on quit|程序启动时打开最近编辑的项目
Auto-save after|自动保存当
Separators:|分隔符:
Bring Scrivener to front when using Services|当使用服务时将 Scrivener 切换到前面
Warnings:|警告:
Reset All Warnings|重设所有警告
Services:|服务:
Saving:|保存:
Scratch Pad:|便签本:
Hot key:|热键:
Default format:|默认格式:
Location:|位置:
Use system version of Java for conversion if installed|如果已安装,使用系统的 Java 版本进行转换.
Import footnotes and endnotes as inline footnotes|导入脚注和尾注作为行内脚注
Create folder to hold imported OPML items|创建文件夹以保存导入的 OPML 项目
(Applies to the File &gt; Sync options.)|(适用于 文件 &gt; 同步 选项.)
Imported plain text files use default text formatting|导入的纯文本文件使用默认文本格式
Imported plain text files use font:|导入的纯文本文件使用字体:
Convert HTML files to:|转换 HTML 文件为:
Import notes into:|导入笔记到:
Import comments as inline annotations|导入批注为行内注释
Main Text (with Synopsis)|正文 (与摘要)
Notes (with Synopsis)|笔记 (与摘要)
Only import files fully supported for opening in Scrivener's editor|仅导入 Scrivener 编辑器完全支持的文件
Convert imported WebArchives and web pages to text|转换导入的 WebArchives 和网页为文本
Import first lines of Scapple notes as titles|导入 Scapple 笔记的首行作为标题
Import Options|导入选项
File Extension|文件扩展名
Scrivener can import any plain text file as editable text as long as it recognizes the file extension. Add the extensions of any plain text file types you wish Scrivener to import as editable text to the list below. (Plain text files ending with ".txt" or with no extension will be imported as editable text documents automatically.)|Scrivener可以导入能识别文件扩展名的任何纯文本为可编辑文本.在下面的列表中添加你希望导入的纯文本扩展名.(纯文本文件的后缀为.txt或者没有扩展名的文本文档将被自动导入)
Plain Text Import Types|纯文本导入类型
Use Word 2011-compatible copy|使用 Word 2011 兼容的副本
MultiMarkdown language:|MultiMarkdown 语言:
Embedded CSS|嵌入的 CSS
Inline CSS|行内 CSS
No CSS|无 CSS
Include image file names for Nisus Writer (RTF only)|为 Nisus Writer 包含图像文件名称(仅 RTF)
Export as RTF-based .doc file|导出为 RTF-based .doc 文件
Use standard OS X .doc exporter|使用标准的 OS X .doc 输出
Preserve white space|保留空白
Resolution for PDF images converted to PNG:|PDF 图像转为 PNG 的分辨率:
PDF images are not supported for these document formats, and so are converted to PNG format during the conversion process.|PDF 图片不支持这些文件格式,所以在转换过程中被转换为 PNG 格式.
This setting is only used as a fall-back when Scrivener cannot use the improved .doc converters.|这个设置仅作为一个回退选择，当Scrivener不能使用改进的 .doc 转换器的时候.
Rich Text Files (RTF, Microsoft Word and OpenOffice)|富文本文件 (RTF, Microsoft Word 和 OpenOffice)
Document type:|文档类型:
Styling:|样式:
JPEG images compression:|JPEG 图像压缩:
Max|最大
Min|最小
Export Options|导出选项
Manage...|管理...
Load All Preferences...|加载所有偏好...
Save All Preferences...|保存所有偏好...
Save All Preferences as Preset...|保存所有偏好为预设...
Load Theme Preferences...|加载主题偏好...
Save Theme Preferences...|保存主题偏好...
Save Theme Preferences as Preset...|保存主题偏好为预设...
("Rewind on pause" must be turned on in the media control bar.)|("暂停时回退"必须在媒体控制栏中打开.)
Rewind when paused by:|当暂停时回退:
Media:|媒体:
Option-dragging creates duplicates|按住 Option 键拖动创建副本
Create back-link references when creating Scrivener Links and references|为 Scrivener 链接和参考引用创建返回的参考引用链接
Always create new items as siblings|始终在同一层级创建新的项
Open references in:|打开参考引用于:
QuickReference Panel|快速参考面板
References and Scrivener Links|参考和 Scrivener 链接
Space key opens selected document in:|空格键打开选择的文档在:
Corkboard and Outliner Space Key Behavior|软木板和大纲模式空格键行为
Note: In full screen composition mode, references and Scrivener Links will open in QuickReference panels if 'Other Editor' is selected or if 'Current Editor' is selected and the linked document is not a text file. References and Scrivener Links always open in other QuickReference panels when selected from a QuickReference panel.|注意:在全屏写作模式,如果‘其他编辑器’或‘当前编辑器’链接到的文档不是一个文本文件,参考引用和Scrivener链接将用快速参考面板打开.当选择‘快速参考面板’时参考引用和Scrivener链接将总是使用其他快速参考面板打开.
Open newly created Scrivener Links in:|打开最近创建的 Scrivener 链接于:
Open clicked Scrivener Links in:|打开点击的 Scrivener 链接于:
Creates new item in list, outline and corkboard views|在软木板和大纲模式列表中创建新的项
Treat all documents with subdocuments as folders|将包含子文档的文档集视为文件夹处理
Include folder text in scrivenings (composite text mode)|层叠模式中包含文件夹文本 (复合文本模式)
Show folder text when selected from search results|显示搜索结果中文件夹的文本
Lock in Place:|位置锁定:
Binder selection affects other editor when focused editor is locked|当聚焦的编辑器被锁定时文件栏中的选择影响其他编辑器
Return Key:|Return 键:
Dragging:|拖拽:
Folders and Files:|文件夹和文件:
Collapse auto-expanded outline items after drag and drop|拖拽后折叠自动扩展的大纲项
Ends editing synopsis in corkboard and outliner|在软木板和大纲模式中结束摘要的编辑
Please enter a name for this preset:|请为预设输入一个名称:
The preset will be saved in Scrivener's Application Support folder and will be available in the "Manage..." menu.|预设将被保存到 Scrivener支持文件夹并可通过“管理…”来使用.
Please enter a name for this theme:|请为主题输入一个名称:
The theme will be saved in ~/Library/Application Support/Scrivener/PreferencePresets and will be available in the "Manage..." menu.|主题将被保存到 ~/Library/Application Support/Scrivener/PreferencePresets，并可通过”管理…“使用.
Themes save only the main appearance preferences, such as colors and corkboard settings.|主题仅保存主要的外观选项,如颜色和软木板的设置.
Outliner fonts|大纲字体
Binder font|文件栏字体
Corkboard fonts|软木板字体
Header bar font|标题栏字体
Fonts to include in theme|保存字体到主题中
Fonts to include in theme:|保存到主题中的字体:
Scrivener Preferences|Scrivener 偏好设置
Defaults|默认值
Make Default|存为默认
Meta-Data Title|元数据标题
Wrap Text|文本换行
Colored Text|颜色文本
Project Title:|项目标题:
Abbreviated Title:|简略标题:
Author's Full Name:|作者全名:
Surname:|姓:
Forename:|名:
You can use the tags next to each text field in your text or in the Compile settings (for instance, in the header and footer settings). During the compile process, the tags will automatically be replaced with the values in the text fields. If left blank, the file name will be used for the project title, and the author's name will be taken from Address Book.|您可以在文本或编译设置中使用每行后面的占位符参数,(例如:在页眉和页脚设置).编译过程中,占位符会被自动替换成文本字段中的值.如果留空,文件名称将采用项目标题和由地址簿获取的作者名字.
(Gray text indicates the default values. Type over them to change them.)|(灰色的文本是默认值.输入内容以改变它们)
Project Properties|项目属性
Custom Title:|自定义标题:
(Double-click to edit colors.)|(双击编辑颜色.)
Labels|标签
Custom meta-data can be added as columns to the outliner and will appear in the "Custom Meta-Data" pane of the inspector.|自定义元数据可以添加到大纲的列并出现在检查器“自定义元数据”的面板中.
Text color:|文本颜色:
Project Settings|项目设置
Meta-Data Settings|元数据设置
Manage the label, status and custom meta-data lists specific to this project.|管理这个项目的标签,状态和自定义元数据列表
Count current compile group only|仅统计当前的编译群组
Pages (printed):|页 (打印):
Draft|草稿
Exclude comments and annotations|不包括批注和注释
Exclude footnotes|不包括脚注
Count subdocuments|统计子文档
Count all documents|统计所有文档
Count only documents marked for inclusion|仅统计标记包括的文档
Count only documents not marked for inclusion|仅统计标记没有包括的文档
Update Printed Counts|更新打印计数
Statistics|统计
Project Statistics|项目统计
Pages (paperback):|页 (平装):
Selection Statistics Options|选择文档统计选项
Draft Statistics Options|草稿统计选项
Page Count Options|页面计数选项
per paperback page:|每平装页:
Comments/Footnotes|批注/脚注
Web|网页
Selected documents only|仅选择的文档
Ignore Case|忽略大写
Use RegEx|使用正则表达式
Titles|标题
Whole words only|全字匹配
Project Replace|项目替换
Replace text throughout the project.|在整个项目进行文本替换.
Replace:|替换:
With:|为:
Swap|交换
Scope:|范围:
Affect:|影响:
Default Tab Interval:|默认 Tab 间隔:
Natural|自然顺序
Fixed Line Height:|固定行高:
Try to keep with next paragraph|尝试与下段同页
Completion|自动完成
Go To Next Line|前往下一行
Custom Script|自定义剧本
Load from Final Draft .fdx or .fdxt file...|加载自 Final Draft .fdx 或 .fdxt 文件...
Please enter a name for the template file:|请为模板文件输入一个名称:
The template will be saved in Scrivener's Application Support folder.|模板将被保存在Scrivener的应用程序支持文件夹(Application Support).
Elements|要素
Script Settings|剧本设置
Style:|样式:
Color:|颜色:
No Underline|没有下划线
Single Underline|单下划线
Double Underline|双下划线
Underline by word|下划线按单词
All caps|全部大写
End of line|结束于行尾
First tab|首个 Tab 位
Character(s):|字符:
Menu shortcut:|菜单快捷:
Style to:|样式为:
Alignment:|对齐:
Justified|两端对齐
Space Before:|段前空行:
Left Indent:|左缩进:
Right Indent:|右缩进:
First Tab:|首个 Tab 位:
First Line Indent:|首行缩进:
Advanced...|高级...
Paragraph|段落
On return:|按回车后:
Tab behavior|Tab 键行为
Go to:|前往:
Insert:|插入:
Allow tabs|允许 Tab
Tabbing after typing:|输入后按 Tab:
Tabbing on an empty line:|空行上按 Tab:
Add colon before return|Return 前添加冒号
Include project completions for this element|这个要素包括项目自动完成项
Automatically add phrases to project list that occur:|自动将出现在下面符号之间的词组到添加项目列表:
Between:|开始于:
And:|结束于:
Do nothing|什么都不做
Insert a tab|插入一个Tab
After project list completions:|在项目列表自动完成后:
(If delimiters are provided, only phrases from the project auto-complete list will be suggested between the delimiters.)|(如果提供了分隔符,只会建议自动完成列表中分隔符之间的词组).
Auto-Complete|自动完成
Format Title:|格式标题:
Reset to defaults|重设为默认
Use current font &amp; paragraph settings|使用当前的字体 &amp; 段落设置
Load from file...|由文件加载...
Save to file...|保存到文件...
Save for use with other projects|保存给其他项目使用
Unit:|单位:
There was a problem synchronizing the project with Simplenote.|这里有一个项目的 Simplenote 同步问题.
Could not sync|不能同步
Go Back|返回
Red indicates notes apparently deleted from the project.|红色代表笔记已经从项目中删除.
Notes marked for this project:|项目标记的笔记:
Assign imported notes to project|指定导入到项目的笔记
Show notes from other projects|显示其他项目的笔记
Other notes:|其他笔记:
Connecting...|正在连接...
Draft Folder|草稿文件夹
Other Text Documents|其他文本文档
Configuration|配置
Click the "?" button in the top-right to learn how best to use this feature.|点击右上角的”?”按钮学习如何最好地使用这个特性.
Password:|密码:
Remember in keychain|在钥匙串中记住
Email:|邮件:
This is used for finding project documents in Simplenote.|用于Simplenote中查找项目文件.
Project keyword:|项目关键词:
Login|登入
Getting Simplenote Files...|获取 Simplenote 文件...
Download|下载
Sync all text documents in project|同步项目中所有的文本文档
Select documents to sync (recommended)|同步选择的文档 (推荐)
(Opt-click on checkboxes to select or deselect all.)|(按下Option 键 选择或取消所有选择.)
Delete from Simplenote any project documents not selected for syncing|删除 Simplenote 中没有选择同步的任何项目文档
Step 1 of 2: Select existing project documents to sync with Simplenote|步骤 1/2: 选择现有的项目文档与 Simplenote 同步
Take snapshots of affected documents before updating|受影响的文档更新前创建快照
Insert blank lines between paragraphs|在段落间插入空行
Import selected documents into:|导入选择的文档到:
Only show containers in destination list|仅显示目标列表中的组
Step 2 of 2: Select documents to import from Simplenote|步骤 2/2:选择由Simplenote导入的文件
Remove blank lines between paragraphs in imported notes.|删除导入笔记段落之间的空行.
Delete from Simplenote notes marked for this project but not selected for syncing|删除项目中来自 Simplenote 的笔记标记而不同步
Syncing...|同步中...
Sync Complete|同步完成
The project was successfully synchronized with Simplenote.|该项目已成功与 Simplenote 同步.
Simplenote Sync|Simplenote 同步
Branch Left|分支向左
Promote Children|提升子项
Line Up|排队
Quit Birch|退出Birch
About Birch|关于Birch
Correct Spelling Automatically|自动纠正拼写
Fold|折叠
Column 80|列80
Column 40|列40
Adjectives|形容词
Birch Help|Birch帮助
Column 120|列120
Text Replacement|文本替换
Show Spelling and Grammar|显示拼写和语法
Open...|打开...
Revert to Saved|恢复到已保存
Line Right|右线
Branch Down|分支向下
Hide Birch|隐藏Birch
Wrap to Window|环绕窗口
Verbs|动词
Capitalize|首字母大写
Demote Trailing Siblings|降级尾随兄弟姐妹
Select Branch|选择分支
Sentance|森泰斯
Find...|查找...
Find and Replace...|查找替换...
Contract Selection|收缩所选
Unfocus|未聚焦
Search|搜索
Print...|打印...
Nouns|名词
Column 200|列200
Column 60|列60
Expand Selection|展开所选
Smart Links|智能链接
Column 66|列66
Make Lower Case|变为小写
Decrease Folding Level|减少折叠级别
Select Sentence|选择句子
Select Paragraph|选择段落
Smart Quotes|智能引号
Line Down|线下行
Focus|聚焦
Branch Up|分支向上
Search by Tag|通过标签搜索
Save...|保存...
Select Word|选择一个单词
Smart Dashes|智能破折号
Fold Completely|完全折叠
Adverbs|副词
Data Detectors|数据检测
Branch Right|科右
Column 90|列90
Focus by Project|按项目聚焦
Make Upper Case|变为大写
Line Left|左线
Column 50|列50
Show Substitutions|显示替换
Increase Folding Level|增加折叠级别
Open Recent|打开最近
Spelling and Grammar|拼写和语法
Line Wrap Width|换行宽度
Organize|组织
About Panel|关于面板
Licensed To:|许可给：
System|系统
Unlicensed|未许可
Version Info|版本信息
Credits|制作名单
About Storyist|关于Storyist
Storyist Help|Storyist帮助
Revert to Saved...|恢复到已保存...
Hide Storyist|隐藏Storyist
Quit Storyist|退出Storyist
Copy Style|拷贝样式
Paste Style|粘贴样式
Toggle Project View|切换项目视图
Page Layout|页面布局
Show Toolbar|显示工具栏
Create New Style from Selection...|从所选新建样式...
Redefine Style from Selection|从所选重定义样式
Revert to Original Style|恢复到原始样式
Edit Current Style...|编辑当前样式...
Fit Width|适合宽度
Fit Page|适合页面
Delete Style|删除样式
Apply Style|应用样式
List...|列表...
Show Page Guides|显示页面指南
Show Rulers|显示标尺
Visit Storyist Forums|访问Storyist论坛
Import Styles...|导入样式...
Convert to Straight Quotes|转换为直引号
Replace Styles...|替换样式...
Apply Styles by Matching Text...|通过匹配的文本应用样式...
Visit Storyist Website|访问Storyist网站
Show Comments|展会评论
Show Bookmarks|显示书签
Split Active View Horizontally|水平拆分活动视图
Split Active View Vertically|垂直拆分活动视图
Close Active Split View|关闭活动视图拆分
Full Screen|全屏
Workspaces|工作区
New Workspace...|新建工作区...
Manage Workspaces...|管理工作区...
Single Editor View|单编辑器查看
Side by Side Editor Views|并排编辑器查看
Stacked Editor Views|堆叠视图编辑器
Rotate Workspace|旋转工作区
Empty Project Trash...|清空项目回收站...
Bookmark|书签
Date &amp; Time...|日期和时间...
Link...|链接...
Page Number|页码
Close Others|关闭其他
Image...|图片...
Template Stylesheet...|模板样式表...
Project Stylesheet...|项目样式表...
Default Stylesheet...|默认样式表...
Welcome to Storyist|欢迎Storyist
Convert to Smart Quotes|转换为智能引号
Text File...|文本文件...
Show Inspector|显示检查器
Folder|文件夹
Page Layout - Two Up|页面布局 - 两个向上
Convert Underlining to Italics|转换下划线为斜体
Story Sheet...|故事板...
Remove Leading Tabs|删除前导制表符
Convert Italics to Underlining|转换斜体为下划线
Novel Stylesheet...|小说样式表...
Add Leading Tabs|添加前导制表符
Save a Version|保存一个版本
Show Invisible Characters|显示不可见字符
Show Previous Versions|显示上一个版本
Customize Status Bar...|自定义状态栏...
File Info|文件信息
Screenplay Stylesheet...|剧本样式表...
Close the active split view, leaving the other views open.|关闭活动拆分视图，使其他视图打开。
Close the other split views, leaving the active split view open.|关闭其他分裂的看法，留下积极的拆分视图中打开。
Split the active view horizontally.|水平拆分活动视图。
Split the active view vertically.|垂直拆分活动视图。
Version %{value1}@ (%{value2}@)|版本%{value1}@ (%{value2}@)
MainMenu|主菜单
Tools|工具
Style|样式
Change Stylesheet|更改样式表
Preferences...|首选项......
Substitutions|替换
Transformations|转换
Open in Other Views|在其他视图中打开
Reveal in Project View|在项目视图中显示
First Draft|第一稿
Final Draft|最终稿
Edit List...|编辑列表...
Color|颜色
Purple|紫色
Gray|灰色
Background|背景
Item Color|项目颜色
Alternating Colors|颜色交替
Yellow Pad|黄垫
Show Summaries|显示汇总
Rating|评分
Title &amp; Summary|标题和概要
Pop Up|弹出
Item|项目
Toggle View Linking|切换视图链接
Outlining is not enabled for this text file.|这个文本文件还没有启用大纲。
Add a new item of the same type as the selected item.|添加和所选项目相同类型的一个新项目。
Link/unlink selection in split views. If selection is linked, changing the selection in one view updates the selection in the other views.|在拆分视图中链接/取消链接选择。如果选择链接，在一个视图中更改所选将更新在其他视图中的所选。
About Boson|关于Boson
Audio Units|音频单元
Loading ...|载入中...
Boson Help|Boson帮助
Hide Boson|隐藏Boson
Boson Manual|Boson手册
Quit Boson|退出Boson
Play Selection|播放所选
High Contrast Color Scheme|高对比度配色方案
Graphical Equalizer|图形均衡器
Rename Selected Marker|重命名选定标记
Playback Rate 0.5x|播放速率0.5x
Select Custom Range...|选择自定义范围...
Delete Selected Markers|删除选定标记
Convert To Mono|转换为单声道
Playback Rate 0.8x|播放速率0.8x
Goto Next Marker|转到下一标记
Peak Limiter|峰值限制器
Amplify|放大
Detect Silence|检测静音
Playback Rate 1.0x|播放速率1.0x
Generate Sine Wave|生成正弦波
Play|播放
Playback Rate 2.0x|播放速率2.0x
Crop|裁剪
Reverse|翻转
Low Shelf Filter|低架滤波器
Pitch|音调
Zoom To Selection|缩放到所选
Low Pass Filter|低通滤波器
Convert To Stereo|转换为立体声
Select Visible Range|选择可见范围
Paste Mix|混合粘贴
Zoom to 10 sec|缩放到10秒
High Shelf Filter|高架滤波器
Zoom to 10%|缩放到10％
Playback Rate 1.6x|播放速率1.6x
Goto Beginning|转到开始
Dynamics Processor|动态处理器
Parametric Equalizer|参数均衡器
Select Back|向后选择
Select Forward|向前选择
Goto Previous Marker|转到上一标记
Band Pass Filter|带通滤波器
Stop|停止
Delay|延迟
Normalize|标准化
Generate Silence|生成静音
Deselect|取消选择
Change Bit Depth|更改位深度
Fade Out Selection|淡出选择
Silence Selection|静音所选
Select To End|选择到结束
Multiband Compressor|多频段压缩器
Zoom to 1 sec|缩放到1秒
Zoom to 5 sec|缩放到5秒
Zoom to custom range...|缩放到自定义范围...
Record|录制
Scroll To Cursor|滚动到光标位置
Delete All Markers|删除所有标记
Contact Support|联系支持
Default Color Scheme|默认配色方案
Matrix Reverb|矩阵混响
Paste Insert|插入粘贴
Playback Rate 1.3x|播放速率1.3x
Playback Rate 0.1x|播放速率0.1x
Split at Markers and Save As...|在标记处拆分并另存为...
Playback Rate 0.3x|播放速率0.3x
Convert To Mono [Mix Down]|转换为单声道[缩混]
Zoom to 100%|缩放到100％
Change Sample Rate|更改采样率
Select All Marked Regions|选择全部标记区域
Distortion|失真
Drop Marker|放下标记
Show Welcome Window|显示欢迎窗口
Paste Overwrite|覆盖粘贴
High Pass Filter|高通滤波器
Properties|属性
Swap Channels|交换通道
Invert Samples|翻转样本
Zoom to 1:1|缩放到1：1
Goto Custom Location|转到自定义位置
Select To Beginning|选择到开始
Goto End|转到结束
Select Active Marked Regions|选择活动的标记区域
New with Parameters|带参数新建
